colorway_id,shoe_id,colorway
1,2,Barely Green / Vapor Green / Metallic Silver / Black
2,2,Football Grey / Copa / Vapor Green / Laser Blue
3,2,Black / Bright Crimson / Summit White
1,3,"""Dallas"""
2,3,"""Solar Return"""
1,4,"""Road to Finals"""
2,4,"""Stingray"""
3,4,"""Lizard"""
4,4,"""Birthday"""
5,4,"""Yin Yang"""
6,4,"""Oxygen"""
7,4,"""College"""
1,5,Black / Bright Crimson / Particle Grey / Mint Foam
2,5,Black / Peach Cream / Total Orange
3,5,Coconut Milk / Sail / Bright Mango / Aurora Green
4,5,White / Black / Tour Yellow / Hot Punch
5,5,Light Photo Blue / Black / Blue Gaze / Coast
6,5,White / Black / Volt / Bright Crimson
7,5,Grey Fog / Metallic Silver / Action Grape / Black
1,6,Fire Red / Black / Amarillo
2,6,Summit White / Pure Platinum / Wolf Grey
3,6,Teal / Lime / Blast / Anthracite
4,6,Metallic Silver / Dark Smoke Grey / Green Strike / Dusty Sage / Chrome
5,6,Black / Black / Coconut Milk
1,7,University Blue / Deep Royal Blue / Fire Pink / White
2,7,Barely Volt / Celestine Blue / Black / Green Strike
3,7,Black / White/Smoke Grey / Light Smoke Grey
4,7,Platinum Violet / Amethyst Tint / Magic Ember / Off Noir
5,7,Hyper Turquoise / Court Purple / Bright Mango / Vivid Purple
6,7,Bright Crimson / Black / Sundial / Laser Orange
7,7,Mint Foam / Volt Tint / Hyper Jade / Bright Citrus
8,7,Pink Foam / Black / Pink Wash / Sail
9,7,Purple / Teal
1,8,Black / Coconut Milk
2,8,Honeydew / Barely Volt / Black
3,8,Multi-Colour / Multi-Colour
1,9,"""Ace"""
2,9,"""Denver"""
3,9,"""Joker"""
4,9,"""Champagne"""
5,9,"""Peppa Pig"""
6,9,"""Triple Red"""
1,10,Semi Court Green / Core Black / Screaming Green
2,10,Cyber Metallic / Core Black / Lucid Red
3,10,Cloud White / Core Black / Screaming Green
4,10,Glow Blue / Cloud White / Core Black
5,10,Core Black / Lucid Red / Cloud White
6,10,Energy Ink / Core Black / Better Scarlet
1,11,Bright Aqua / Feather Gray
2,11,Feather Gray / Wild Berry
3,11,Purple / Green
1,12,"""Milkyway"""
2,12,"""Snowman"""
1,13,Capri / Fire
2,13,Yellow / Orange / Blue / Black
3,13,"""Reign Rose"""
4,13,Blue / Blue
5,13,Purple / Green
6,13,Black / Steel
7,13,Forest Green / Classic Green / Metallic Gold
1,14,Core Black / Clear Grey / Carbon
2,14,Solar Red / Core Black / Cloud White
3,14,Cloud White / Collegiate Green / Blue Burst
4,14,Core Black / Cloud White / Core Black
5,14,Core White / Core Black / Silver Metallic
6,14,Core Black / Lucid Red / Grey Two
7,14,Pulse Blue / Core Black / Cloud White
8,14,Pulse Lime / Core Black / Screaming Green
9,14,Lucid Fuchsia / Core Black / Lucid Pink
1,15,"""Red Stingray"""
2,15,"""Green Stingray"""
3,15,"""All Range"""
4,15,"""Year of the Snake"""
5,15,"""Ice Chips"""
6,15,"""Interstellar"""
7,15,"""Family Love"""
8,15,"""Yin Yang"""
9,15,"""Mint"""
10,15,"""Chemical Reaction"""
1,16,"""Miami Night"""
2,16,"""Champagne"""
3,16,"""Liberty"""
1,17,"""Crossing Time"""
1,18,Anthracite / Orange Pearl / Barely Green / Pale Ivory
2,18,Ghost Green / Electric Green / Black
3,18,Black / Sail / University Red
4,18,Platinum Tint / Black / Particle Grey / Grey Fog / Vapor Green
5,18,White / Kinetic Green / Black
6,18,Seafoam / Spruce Aura / Arctic Orange / Apricot Agate
7,18,Off White / Sail
8,18,Pink Tint / Lava Glow / Hot Punch / Guava Ice
1,19,Mint Foam / Light Lemon Twist / Aquarius Blue
2,19,Solar Red / White / Vapor Green / Dusty Cactus
3,19,Off White / Light Bone
4,19,White / Black / Metallic Gold
5,19,White / Medium Ash / Hot Lava / Volt Glow
6,19,Black / Dark Grey / Field Purple / Laser Fuchsia
7,19,Pink Foam / Pinksicle / Hyper Pink / Photo Blue
8,19,Blustery / Fireberry / Ghost Green / Diffused Blue / Armory Navy / Playful Pink
9,19,Soft Pearl / Vivid Purple / Court Purple / Hyper Turquoise
10,19,White / Green Glow / Pink Foam / Baltic Blue
1,20,Coconut Milk / Pink Foam / Apricot Agate
2,20,White / Astronomy Blue / Hemp / Vintage Green
3,20,Blue Beyond / Celestial Gold / Apricot Agate / Hyper Pink
4,20,Black / Phantom-Light / Smoke Grey / Light Lemon Twist
5,20,Rapid Teal / Black / Ale Brown / University Red
6,20,Summit White / Glacier Blue / Mint Foam / Hydrangeas / Light Chocolate
7,20,Bold Berry / Light Lemon Twist / Dark Raisin / Baltic Blue
8,20,Light Lemon Twist / Total Orange / Light Army
9,20,Soft Yellow / University Gold / Dusty Cactus / Obsidian
10,20,University Red / Black / Jade Horizon / Celestial Gold
11,20,Black / Coconut Milk / Black
12,20,White / Game Royal / University Red / University Blue
1,21,Puma Red / Orange Glow / Fluorescent Orange / Purple Glimmer
2,21,Deep Orchid / Poison Pink
3,21,Pink Alert / Yellow Alert
4,21,Yellow Alert/Green Glare/Pink Alert
5,21,Black / Multi
6,21,Team Light Blue / Cool Mid Gray
7,21,Dark Amethyst / Orange Glow / Poison Pink / Electric Peppermint
8,21,PUMA Black / Electric Peppermint / Fluro Green Pes
1,22,White / White / White
1,23,Yellow / Brown / Pink
2,23,Beige / Black / Red
1,24,Linen / Ice Wine / Castlerock
2,24,Blue Oasis / Inkwell / Hi-lite
3,24,Neo Flame / Mercury Red / White
4,24,White / Linen / Dusk Shower
5,24,Sunfade Red / Dragon Berry / White
6,24,Light Blue / White
7,24,Black / White / Team Red
8,24,Pixel Green / Black and Neo Flame
1,25,Blue Burst / Cloud White / Aurora Ink
2,25,Cloud White / Core Black / Collegiate Green
3,25,Screaming Green / Core Black / Pulse Lime
4,25,Purple Burst / Core Black / Solar Red
5,25,Solar Red / Core Black / Lucid Lemon
6,25,Warm Vanilla / Lucid Red / Warm Sandstone
7,25,Silver Metallic / Core Black / Lucid Blue
8,25,Core Black / Cloud White / Cobalt Blue
9,25,Silver Pebble / Legend Ivy / Impact Orange
1,26,Black / Black / Black
2,26,Cyber/ Sundial / Lightning / Bright Mandarin
3,26,Dusty Cactus / Royal Pulse / Green Frost / White
4,26,Hyper Violet / Green Strike / Bold Berry / Black
5,26,Lightening / Hyprpnk / Uniblu
6,26,Lime Blast / Hyper Pink / Pure Platinum / Metallic Silver
7,26,Light Khaki / Alabaster / Total Orange / White
8,26,Black Raspberry / Hot Punch / Hot Fuchsia / Aster Pink
9,26,White / Pure Platinum / Black
10,26,Black / University Red / Team Red
11,26,Dusty Cactus / Obsidian / Bright Crimson
12,26,Smoke Grey / Wolf Grey / Dark Smoke Grey / Stadium Green
13,26,Racer Blue / White / Light Photo Blue / University Blue
1,27,Team Red / White
2,27,Blue / Blue
3,27,Limelight / Azure / Dragon Berry
4,27,Mercury Red / White / Gold
5,27,Lilac Glo / Sky Blue / Pixel Green
6,27,Team Navy / White
7,27,Triple Black
8,27,White / Quartz Grey
9,27,Passion Fruit / Lilac Glo / Violet Crush
10,27,Ultra Pink / Real Pink / Lilac Glo
11,27,Black / White / Blast Red
