critic_id,name
1,Foot Doctor Zach
2,MARKCHES
3,TommyLiu
4,Artem Doncic
5,Jeremy Jones
6,RicheeKim
7,Snkr Tech Talk
8,DG Hoops
9,Lukas Simoner
10,The Sole Drop
11,joychristianrinaldi
12,natnitnutnetnot
13,Meiga
14,GBDI
15,jovan7
16,Cookieman!!
17,DuckBiBi
18,ShadeSnSoleS [Youtube]
19,KicksContestWorld
20,Kayce
21,Sinsila
22,Evan Miranda [weartesters.com]
23,Anand_bb
24,Crossover.kix
25,Jb_baller235
26,Giorgos
27,Safranclark
28,ttyy1033
29,Tuguu
30,kidz15969
31,Nelson Chan @Hoop and Life
32,NightWing2303 [weartesters.com]
33,Baonam
34,MF_Eve
35,Jovan
36,Phonghai
37,Omid.A19
38,LuhSteezy
39,Cavs4life
40,boredboi
41,kuyasleepyhooper
42,OHiro
43,Jlindeb
44,PureKicks
45,EMACD32
46,JustMikey
47,Bem23
48,lilboyjerkybeef
49,polarcurve
50,Pedrodias22
51,strictlybball
52,Mr.Erkhes
53,vanh
54,Oubas48
55,Rombo
56,Claxy
57,Hanthedon
58,Imc_77
59,Azbilig
60,Leo610
61,Henry Tran
62,bem_23
63,JA MORANT
64,Halldor
65,Jonjon1016
66,Daniel Prado
67,Stefan27
68,Anar
69,Guy_A
70,Jeloxia
71,Kayden30
72,Zachyg
73,Hooper456
74,Dowr__8
75,tony7
76,B.E.A.T
77,osmxn08
78,Requiem
79,angelokwok.72
80,Richard
81,Killianduth
82,Keo
83,Mylan24
84,solaroptix
85,Stanley T. [weartesters.com]
86,Harams
87,kevindude
88,Theebe
89,oski
90,Collazi
91,Roman
92,Jaceyerr
93,C-doghoopsSB321$
94,Moordoomer
95,CJ Tomonori
96,honzus
97,Tl31o5
98,Tobias
99,Allen Sison [weartesters.com]
100,Kd merchant
101,Aro
102,Khoiliz
103,Jackson Bayer [weartesters.com]
104,konhenuky
105,Ggggg
106,congminh2909
107,6streethoops
108,Alfiethedude
109,wyatt
110,Tuntikorn
111,Soled Out Reviews
112,OutdoorHooper
113,IamNick
114,Bk07
115,João Pedrp
116,BigZfrost
117,Harry F
118,Goat kobe
119,pgkyriefan0408
120,Dome13694
121,Micheal Jordan
122,ENVY
123,realbigboymoney
124,Bora babaoglan 4
125,2fanzbabe
126,Watermelon
127,Treehundred300
128,Mik3linn
129,Hooperdaddy
130,Cooking
131,DatBoiJax
132,rafasis1986
133,vzamud1027
134,Nathan27
135,Alberto
136,BJO
137,EvpatyKolovrat
138,JerAlbert
139,Tylan
140,Nia Jasani
141,Pansit_Bihornn
142,Мотя
143,Nhnam
144,Userofpick
145,Lekkosg
146,EMAC24
147,Jay Hill
148,nmontefalcon07
149,jonathon
150,anthanvan
151,João Pedro
152,Mr.Loxia5000
153,LD18
154,XRyan
155,anguyen
156,vuski
157,Kin Dinh
158,MikaelBrenner
159,Amac
160,PrestoHawk
161,Gavin76
162,Pmurph10
163,Tyrese Maxey
164,Tg14
165,damienrawr22
166,btsreview
167,Raaffii
168,Lg-bby
169,MattyiceReviews
170,skipcilli
171,kogssk
172,pda17_
173,EmilioRafael
174,Aiden
175,Viktor_08
176,Duke4005 [weartesters.com]
177,Hminhzz
178,Huntbub
179,Mid7
180,Nunzio
181,M4ngo
182,Nguyễn Trần Nhật An
183,REBOOTED123
184,Francisco
185,Kxzinnm
186,Brazil
187,Thirat
188,jaminpond
189,Kris2020
190,Anto
191,WilsonChicken
192,jjestera_
193,Long Fat
194,Anderson
195,Iloveshoes
196,Derozen89
197,Mttmagrizzle
198,BullsJXIdhsaghs
199,coolguy13
200,Hoophead
201,sanyo
202,Homiddy
203,Borif
204,Jellyko15
205,Jacob
206,LeBronJames
207,Klong
208,Ldellin
209,Ihsan
210,Humzaza
211,Mr.Jay
212,Thilo
213,nickne
214,LG5
215,SebastienToyer
216,Martin
217,Bruno
218,NaxEco
219,Anton
220,TDMoore
221,JAHRONMON [Youtube]
222,Sammisidr9n
223,nicola mauri
224,JMGRM83
225,Chris21
226,Yousofeltayeb
227,Samuel4
228,bt21_0208
229,Dlgrbyr29
230,Vincently
231,Gtnover
232,brandonlin
233,Joker
234,dumbcement(笨泥）
235,I love shoes
236,peterhai
237,Koki
238,sukhbatuu
239,Jdm
240,Jenosize
241,Ukurutsu
242,evanchan
243,Jamo
244,Antok
245,Usukh.ireedui
246,sneakerconnoisseur
247,Burakc6
248,Rambo2010!
249,wowhaaa
250,Guggafugg
251,Nadav
252,Jomiro
253,HureleeJoesta
254,Lemons
255,TLG13
256,Morbidly A Beast
257,kalebsullivan1996
258,cevuuuu
259,Laserbeak
260,Sarpar
261,Eddie Cha
262,Shoe Reviews 1
263,LeSteven
264,Call Lour way
265,The_Man
266,Shoe star
267,NM@TC2023
268,Raf24
269,mdessner
270,yamate'dsf3
271,Maskoff
272,Logan4
273,ASTIJUS
274,Steph Curry30
275,Satoxz
276,Guilhermo Silva
277,Dimitris
278,Zayd
279,SC30Fan#1
280,guilty
281,Oli9kujyhd
282,BexxNBA
283,monke69
284,Dorian
285,Hjhckdj
286,Yukselay
287,SirJules
288,Test123
289,David ....fi
290,Supra
291,vogl
292,Flooded
293,The Sole Brothers
294,GGarrido
295,Nerw32
296,Frallan
297,Garcsel
298,Xvl
299,jordd
300,Vivek vishwakarma
301,Ravayx
302,KingMikey3
303,Revive
304,Jodie17
305,Luuk
306,Joey
307,RunStretchTech
308,Gamebreaker
309,Nathanieljr.
310,nggophucc
311,Neica13
312,keadan73
313,Midland_reign
314,Deadpoolloll
315,certified-baller
316,Cielo
317,gui
318,DavideElio
319,HarushX
320,iceLaMelo
321,LZ Hoops
322,shoeaddict34
323,HainczAndor
324,hunchoscott
325,BallinAnts
326,enci
327,Marcimogotted
328,Dmacek94
329,binwei
330,jz0623
331,DB24
332,Benjamin
333,bem
334,Dbachv
335,Popcornpk
336,2yechan
337,Martinshoes
338,Macallan
339,Birds
340,Pingu420
341,Smak24
342,Cold10
343,mynameisyuee
344,Danny0904
345,7777
346,jamess11
347,Kake
348,Gavriel Rupert Dela Cruz [weartesters.com]
349,JackvanGeenen13
350,Ryankh
351,Basketballboy21
352,Thomasaspireengland
353,danieltonga
