critic_id,profile_link
1,https://www.youtube.com/channel/UCSOQGnOJqKOlIeQoXOSFyjw
2,https://www.youtube.com/channel/UC0t0IqxfP_idFzKGEkgEixg
3,https://www.youtube.com/channel/UCSZWLqReT1tt0qHCX6vMsZA
5,https://www.youtube.com/@JeremyJonesNeverFold
6,https://www.youtube.com/channel/UC_P_HdWJvF03Q9_yCYpeZ2Q
7,https://www.youtube.com/channel/UCRZe0TnLQ662pe-a-3czJvg
8,https://www.youtube.com/@DGHoops/videos
9,https://www.youtube.com/@ls_hoops/videos
10,https://www.youtube.com/channel/UCju1EmUNJKT24Ufp8TAi2Dw
18,https://www.youtube.com/channel/UCTclZfJdLpuw6zzpGhpN33Q
19,https://www.youtube.com/channel/UCpQdWuk5Sr8bZrzSkw7sGtg
22,https://weartesters.com/author/evan/
31,https://www.youtube.com/channel/UCncnlRN31ckfiS10EsPHPfg
32,https://weartesters.com/author/admin/
44,https://www.youtube.com/channel/UCZK9kzLWyKs7Py1j-7yb4mQ
85,https://weartesters.com/author/nyjumpman23/
99,https://weartesters.com/author/allen104396/
103,https://weartesters.com/author/kingjackson/
111,https://www.youtube.com/channel/UCMahw55qSA5dH8qnzNBaJmA
176,https://weartesters.com/author/brhinkle/
221,https://www.youtube.com/channel/UCv-1s-XXGHaCstsvn0-VLHw
293,https://www.youtube.com/channel/UCBV3x4ANi_UuF3LyuFPa_Pg
307,https://www.youtube.com/channel/UCXELjes5fLLMKwnG0dd5ghA
321,https://www.youtube.com/channel/UCsPseldPJ8I-zKvmZMiLH4w
348,https://weartesters.com/author/gavriel/
365,https://weartesters.com/author/lookatleak/
382,https://www.youtube.com/channel/UCqG2f4LZU696Q8cJILSVjBw
394,https://www.youtube.com/channel/UCp6L72gvMNQmczlrb6cd21Q
486,https://www.youtube.com/channel/UCrOgQZYG0olMJaMlNQPjLYw
516,https://www.youtube.com/channel/UCLkh8oi0KAnClK7IfZmET8A
522,https://www.schwollo.com
615,https://weartesters.com/author/anotherpair/
649,https://solecollector.com/author/zac-dubasik
701,https://www.youtube.com/channel/UC4gPKdabQVW2YyhCtO7JErw
739,http://www.analykix.com/search/label/review
755,https://weartesters.com/author/jahronmon/
772,https://weartesters.com/author/quick-kicks/
