shoe_id,name,brand,player,release_date,description,shoe_type,retail_price
1,Reebok Engine A,Reebok,,2025-05-01,The Reebok Engine A is best for bigger players looking for solid impact protection.,Low Top,119.99
2,Jordan Luka 4,Jordan,Luka Doncic,2025-04-01,"This shoe is best for bigger, shifty guards.",Low Top,129.99
3,ANTA Kai 2,ANTA,Kyrie Irving,2025-03-01,"The KAI 2 is best for shifty guards who want a fast, responsive shoe.",Low Top,139.99
4,Li-Ning Wade 808 5 Ultra,Li-Ning,Dwyane Wade,2025-03-01,"This shoe is best for smaller, quicker, more explosive players.",Low Top,159.99
5,Jordan Zion 4,Jordan,Zion Williamson,2025-02-01,The Zion 4 is best for players with narrow feet who want extra support and comfortable cushioning.,Low Top,139.99
6,Nike KD 18,Nike,Kevin Durant,2025-02-01,This shoe is best for players who enjoyed the KD 17 and want better support and lockdown.,Low Top,159.99
7,Nike LeBron NXXT Genisus,Nike,Lebron James,2025-02-01,This shoe is best for players who like supportive uppers.,High Top,149.99
8,Nike GT Cut 3 Turbo,Nike,,2025-02-01,"This shoe is best for players who want a more stable, improved version of the previous model.",Low Top,209.99
9,361 Joker 1,361,,2025-01-01,Players with a variety of play styles will enjoy this shoe thanks to the versatility of its features.,High Top,129.0
10,Adidas Harden Volume 9,Adidas,James Harden,2025-01-01,This shoe is best for all positions prioritizing a secure upper and springy cushioning.,Low Top,159.99
11,Puma Scoot Zero 2,Puma,Scoot Henderson,2025-01-01,This shoe is best for laterally quick players who use side-to-side movements.,Low Top,109.99
12,Rigorer AR 2,Rigorer,Austin Reaves,2025-01-01,The AR 2 is best for guards who quickly get up and down the court.,Low Top,99.99
13,Under Armour Curry Fox 1,Under Armour,De'Aaron Fox,2024-12-01,This shoe is best suited for nimble guards with good footwork.,Low Top,119.99
14,Adidas Dame Certified 3,Adidas,Damian Lillard,2024-12-01,This shoe is a good low-budget shoe for stability.,Low Top,84.99
15,Li-Ning Way of Wade All City 13,Li-Ning,Dwyane Wade,2024-12-01,"This shoe is best for quick, explosive guards but is versatile enough for everyone.",Low Top,139.99
16,Li-Ning Wade Shadow 6,Li-Ning,Dwyane Wade,2024-12-01,"This shoe offers something for all play styles but excels for explosive, snappy players.",Low Top,119.99
17,ANTA KT 10,ANTA,Klay Thompson,2024-12-01,This shoe excels at everything. It has something to offer for all players.,Low Top,129.99
18,Jordan Tatum 3,Jordan,Jason Tatum,2024-11-01,The Tatum 3 is best for players who move a lot on their forefoot.,Low Top,124.99
19,Nike Lebron 22,Nike,Lebron James,2024-11-01,"This shoe is best for anyone looking for a comfortable, responsive, and bouncy cushioning setup.",Low Top,179.99
20,Nike Ja 2,Nike,Ja Morant,2024-10-01,"The Ja 2 is best for players who enjoy light, speedy shoes with a bit of pop.",Low Top,119.99
21,Puma MB.04,Puma,LaMelo Ball,2024-10-01,The shoe is best for those who enjoy the comfortable midsole and upper materials from previous Puma MB shoes.,Mid Top,124.99
22,Nike Kobe 9 Elite Low Protro,Nike,Kobe Bryant,2024-10-01,This shoe is best for players looking for elite traction performance.,Low Top,209.99
23,ANTA Shock Wave 6,ANTA,,2024-10-01,This shoe is best suited for guards and other quick players.,Low Top,149.99
24,New Balance Hesi Low V2,New Balance,,2024-09-01,"This shoe is best for lighter, nimbler players.",Low Top,109.99
25,Adidas Dame 9,Adidas,Damian Lillard,2024-09-01,The Dame 9 is best for players looking for soft cushioning and containment.,Low Top,119.99
26,Nike Giannis Immortality 4,Nike,Giannis Antetokounmpo,2024-09-01,The Nike Giannis Immortality 4 is best for players looking for a budget shoe with a durable outsole and supportive upper.,Low Top,99.99
27,New Balance TWO WXY V5,New Balance,,2024-09-01,The shoe plays well for all positions. It does it all.,Low Top,119.99
28,ANTA KAI 1 Speed,ANTA,Kyrie Irving,2024-09-01,This shoe is a good pick for players who want a more responsive version of the KAI 1.,Low Top,124.99
29,Jordan Luka 3,Jordan,Luka Doncic,2024-08-01,"The Luka 3 is best for shifty, balanced players who mainly play on clean courts.",Low Top,139.99
30,Air Jordan 39,Jordan,Michael Jordan,2024-08-01,This is the perfect shoe for players who love explosive cushioning setups.,Low Top,199.99
31,Adidas A.E. 1 Low,Adidas,Anthony Edwards,2024-08-01,The shoe is best for shifty players who like to feel low to the ground.,Low Top,109.99
32,Nike Zoom Freak 6,Nike,Giannis Antetokounmpo,2024-08-01,The shoe's responsiveness and light weight are better suited for lighter guards.,Low Top,149.99
33,Under Armour Curry 12,Under Armour,Stephen Curry,2024-08-01,The Curry 12 is the perfect shoe for players who need elite traction on clean courts.,Low Top,149.99
34,Li-Ning Way of Wade All City 12 Encore,Li-Ning,Dwyane Wade,2024-08-01,This shoe has something for everyone. All players will enjoy the All City 12 Encore.,Low Top,149.99
35,Li-Ning Wade Ice Blood 2,Li-Ning,Dwyane Wade,2024-08-01,The shoe is best for guards who play low to the ground.,Low Top,139.99
36,Li-Ning Way of Wade 11,Li-Ning,Dwyane Wade,2024-07-01,"The lightweight, well-cushioned Way of Wade 11 is recommended for players who like to get up and down the court and vertical.",Low Top,224.99
37,Adidas D.O.N. Issue 6,Adidas,Donovan Mitchell,2024-07-01,The D.O.N. Issue 6 is best for quicker players looking for a bottom-light shoe.,Low Top,119.99
38,Nike Sabrina 2,Nike,Sabrina Ionescu,2024-07-01,The shoe is a great pick for responsive and quick guards. The court feel and responsiveness will cater well to that play style.,Mid Top,129.99
39,Nike GT Hustle 3,Nike,,2024-07-01,These shoes are best for bigs who get off the ground often and require impact protection.,Mid Top,189.99
40,Nike G.T. Hustle Academy,Nike,,2024-07-01,This shoe is best for lighter players with a mobile play style.,Low Top,94.99
41,Li-Ning Wade 808 4 Ultra,Li-Ning,Dwyane Wade,2024-07-01,The 808 4 Ultra is best as a balanced performance shoe. It provides excellent performance in all aspects of the shoe.,Low Top,
42,Nike Kobe Protro 8,Nike,Kobe Bryant,2024-06-01,The shoe is best for quicker guards looking for an excellent court feel.,Low Top,189.99
43,Nike G.T. Cut Cross,Nike,Kobe Bryant,2024-05-01,This is a solid option for outdoor play on a budget.,Low Top,109.99
44,Puma Stewie 3,Puma,Breanna Stewart,2024-05-01,Players who don't require much bounciness and excel with low-to-the-ground setups.,Low Top,124.99
45,Jordan Zion 3 SE,Jordan,Zion Williamson,2024-04-01,The Jordan Zion 3 SE is best for narrow-foot players who like a drop-in midsole setup.,Low Top,149.99
46,New Balance Kawhi 4,New Balance,Kawhi Leonard,2024-04-01,"The New Balance Kawhi 4 is best for players who enjoy springy, plush cushioning setups.",Low Top,169.99
47,Nike KD 17,Nike,Kevin Durant,2024-04-01,The Nike KD 17 is best for players who enjoyed the 16 and are looking for better traction.,Low Top,149.99
48,Adidas Harden Volume 8,Adidas,James Harden,2024-03-01,The Harden Vol 8 is best for players who use powerful footwork to create space.,Low Top,159.99
49,Jordan Tatum 2,Jordan,Jason Tatum,2024-03-01,The Tatum 2 is best for players who prefer balanced setups with Air Strobel.,Low Top,124.99
