store_id,shoe_id,price,link
1,2,99.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=F082330010&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FF0823300.html&intsrc=CATF_5700&subid1=price_comp_price
2,2,130.0,https://click.linksynergy.com/link?id=3uzGB/qlQhQ&offerid=943383.377313730621&type=15&murl=https%3A%2F%2Fwww.finishline.com%2Fstore%2Fbrowse%2FproductDetail.jsp%3FproductId%3Dprod2875244%26brand_name%3DJordan%26styleId%3DHF0823%26colorId%3D300%26exp%3Dold&u1=price_comp_price
3,2,135.0,https://www.kqzyfj.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fluka-4-space-navigator-basketball-shoes-I75ImW0j%2FHF0823-300%3Fnikegos%3Dtrue&sid=price_comp_price
4,4,159.0,https://www.tkqlhce.com/click-8756460-15266129?url=https%3A%2F%2Fwayofwade.com%2Fproducts%2Fwade-808-5-ultra-birthday%3Fvariant%3D46190328905943&sid=price_comp_price
5,4,113.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABAV015-5-65&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-808-5-v-ultra-multi-color-abav015-5%3Fcurrency%3DUSD%26variant%3D44314723221699&intsrc=CATF_11961&subid1=price_comp_price
6,5,67.99,https://www.tkqlhce.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fjordan-zion-4-basketball-shoes-24jdnazn4mdtmrblxmns%2F24jdnazn4mdtmrblxmns%3Fsku%3D26355550&subid1=price_comp_price
1,5,99.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=B180280010&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FB1802800.html&intsrc=CATF_5700&subid1=price_comp_price
3,5,105.97,https://www.jdoqocy.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fzion-4-basketball-shoes-XRJ4CL%2FFB1802-100%3Fnikegos%3Dtrue&sid=price_comp_price
3,6,108.97,https://www.kqzyfj.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fkd18-chain-reaction-basketball-shoes-sBxXXKpD%2FHV1992-001%3Fnikegos%3Dtrue&sid=price_comp_price
6,6,111.99,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-kd18-basketball-shoes-25nikakd18lnchxxxmnk%2F25nikakd18lnchxxxmnk%3Fsku%3D26692495&subid1=price_comp_price
1,6,139.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=V199330110&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FV1993301.html&intsrc=CATF_5700&subid1=price_comp_price
6,7,81.97,https://www.tkqlhce.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-lebron-nxxt-genisus-basketball-shoes-24nikalbrnnxxtgnfmnk%2F24nikalbrnnxxtgnfmnk%3Fsku%3D26349711&subid1=price_comp_price
3,7,105.97,https://www.tkqlhce.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Flebron-nxxt-genisus-basketball-shoes-enUGkBuh%2FHF0712-005%3Fnikegos%3Dtrue&sid=price_comp_price
7,7,134.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=F071230010&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FF0712300.html&intsrc=CATF_5705&subid1=price_comp_price
6,8,84.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-nike-g-tcut-3-turbo-basketball-shoes-24nikagtcttrbswblmnk%2F24nikagtcttrbswblmnk%3Fsku%3D26455003&subid1=price_comp_price
5,8,140.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=IB9632-001-90&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnike-air-zoom-gt-cut-3-turbo-lx-black-label-ib9632-001%3Fcurrency%3DUSD%26variant%3D44243955056835&intsrc=CATF_11961&subid1=price_comp_price
5,9,86.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=572511103-1-70&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2F361-degrees-joker-1-ace-572511103-1%3Fcurrency%3DUSD%26variant%3D44109247774915&intsrc=CATF_11961&subid1=price_comp_price
8,10,64.0,https://adidas.njih.net/c/1960210/376195/4270?c=affiliate_2021&af_reengagement_window=30d&af_channel=affiliates&pid=impactradius_int&is_retargeting=true&af_siteid=%7Birpid%7D&prodsku=JH6484_540&u=http%3A%2F%2Fwww.adidas.com%2Fus%2Fharden-volume-9-shoes%2FJH6484.html&intsrc=CATF_2425&subid1=price_comp_price
6,10,104.99,https://www.tkqlhce.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fadidas-harden-volume-9-basketball-shoes-24adiahrdnvlm9swxmns%2F24adiahrdnvlm9swxmns%3Fsku%3D26330776&subid1=price_comp_price
7,10,127.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=JR250410&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FJR2504.html&intsrc=CATF_5705&subid1=price_comp_price
6,11,45.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fpuma-x-2k-scoot-zeros-2-basketball-shoes-24pumasctzrs22kxxmns%2F24pumasctzrs22kxxmns%3Fsku%3D26199917&subid1=price_comp_price
1,11,79.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=3113490110&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2F31134901.html&intsrc=CATF_5700&subid1=price_comp_price
7,11,79.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=3113490110&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2F31134901.html&intsrc=CATF_5705&subid1=price_comp_price
5,12,63.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=Z324460101-2-65&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Frigorer-ar2-milky-way-z324460101-2%3Fcurrency%3DUSD%26variant%3D44154128203971&intsrc=CATF_11961&subid1=price_comp_price
6,13,62.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Funder-armour-curry-fox-1-basketball-shoes-24uaracrryfx1hppymns%2F24uaracrryfx1hppymns%3Fsku%3D26080594&subid1=price_comp_price
9,13,120.0,https://www.awin1.com/pclick.php?p=39730492442&a=707873&m=15431&clickref=price_comp_price
5,13,68.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=6005396-301-110&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Funder-armour-curry-fox-1-happy-fox-day-alt-6005396-301%3Fcurrency%3DUSD%26variant%3D44148765294787&intsrc=CATF_11961&subid1=price_comp_price
1,14,85.0,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=JI15469.5&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2FJI1546.html&intsrc=CATF_5700&subid1=price_comp_price
7,14,85.0,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=JI15469.5&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FJI1546.html&intsrc=CATF_5705&subid1=price_comp_price
5,14,58.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=IH8464-65&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fadidas-lillard-dame-certified-2-low-trainers-orange-black-ih8464%3Fcurrency%3DUSD%26variant%3D43965384655043&intsrc=CATF_11961&subid1=price_comp_price
4,15,149.0,https://www.jdoqocy.com/click-8756460-15266129?url=https%3A%2F%2Fwayofwade.com%2Fproducts%2Fwade-all-city-13-green-stingray%3Fvariant%3D45902043513047&sid=price_comp_price
5,15,71.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABAV001-7-70&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-all-city-13-orange-abav001-7%3Fcurrency%3DUSD%26variant%3D44150855499971&intsrc=CATF_11961&subid1=price_comp_price
5,16,62.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=ABPU029-8-80&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fli-ning-wade-shadow-6-miami-night-abpu029-8%3Fcurrency%3DUSD%26variant%3D44224630161603&intsrc=CATF_11961&subid1=price_comp_price
6,18,81.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fjordan-tatum-3-basketball-shoes-24jdnattm3sdwlkchmns%2F24jdnattm3sdwlkchmns%3Fsku%3D26112151&subid1=price_comp_price
3,18,110.97,https://www.tkqlhce.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Ftatum-3-basketball-shoes-nYWcchIm%2FHV5878-002%3Fnikegos%3Dtrue&sid=price_comp_price
7,18,114.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=Z659800110&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FZ6598001.html&intsrc=CATF_5705&subid1=price_comp_price
6,19,87.97,https://www.kqzyfj.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-lebron-xxii-basketball-shoes-24nikalbrn22mnplymnk%2F24nikalbrn22mnplymnk%3Fsku%3D26433137&subid1=price_comp_price
3,19,114.97,https://www.kqzyfj.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Flebron-xxii-limelight-basketball-shoes-aNB6tabQ%2FHV5148-600%3Fnikegos%3Dtrue&sid=price_comp_price
2,19,125.0,https://click.linksynergy.com/link?id=3uzGB/qlQhQ&offerid=943383.377313707154&type=15&murl=https%3A%2F%2Fwww.finishline.com%2Fstore%2Fbrowse%2FproductDetail.jsp%3FproductId%3Dprod2871392%26brand_name%3DNIKE%26styleId%3DHV8454%26colorId%3D100%26exp%3Dold&u1=price_comp_price
2,20,55.0,https://click.linksynergy.com/link?id=3uzGB/qlQhQ&offerid=943383.377313701085&type=15&murl=https%3A%2F%2Fwww.finishline.com%2Fstore%2Fbrowse%2FproductDetail.jsp%3FproductId%3Dprod2871390%26brand_name%3DNIKE%26styleId%3DFD7328%26colorId%3D100%26exp%3Dold&u1=price_comp_price
6,20,58.97,https://www.anrdoezrs.net/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnike-ja-2-basketball-shoes-24nikaj2nthwdsxxxmnk%2F24nikaj2nthwdsxxxmnk%3Fsku%3D26132106&subid1=price_comp_price
3,20,105.0,https://www.jdoqocy.com/click-8756460-13610728?url=https%3A%2F%2Fwww.nike.com%2Ft%2Fja-2-se-scratch-big-kids-basketball-shoes-VvlE0FT4%2FHQ2296-400%3Fnikegos%3Dtrue&sid=price_comp_price
2,21,90.0,https://click.linksynergy.com/link?id=3uzGB/qlQhQ&offerid=943383.377313688608&type=15&murl=https%3A%2F%2Fwww.finishline.com%2Fstore%2Fbrowse%2FproductDetail.jsp%3FproductId%3Dprod2872109%26brand_name%3DPUMA%26styleId%3D31130801%26colorId%3D600%26exp%3Dold&u1=price_comp_price
1,21,99.99,https://footlocker.8s4u9r.net/c/1960210/793097/11068?prodsku=3108360110&u=https%3A%2F%2Fwww.footlocker.com%2Fproduct%2F%7E%2F31083601.html&intsrc=CATF_5700&subid1=price_comp_price
7,21,99.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=3105320110&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2F31053201.html&intsrc=CATF_5705&subid1=price_comp_price
5,22,142.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=FZ7334-100-75&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnike-kobe-9-elite-low-protro-halo-fz7334-100%3Fcurrency%3DUSD%26variant%3D43869431759043&intsrc=CATF_11961&subid1=price_comp_price
6,24,43.97,https://www.jdoqocy.com/click-8756460-16989341?url=https%3A%2F%2Fwww.dickssportinggoods.com%2Fp%2Fnew-balance-hesi-low-v2-basketball-shoes-24nwbahslwv2lnnxxmns%2F24nwbahslwv2lnnxxmns%3Fsku%3D25436530&subid1=price_comp_price
5,24,81.0,https://kickscrew.sjv.io/c/1960210/1614983/12943?prodsku=BBHSLHR2-80&u=https%3A%2F%2Fwww.kickscrew.com%2Fproducts%2Fnew-balance-bb-hesi-low-v2-better-for-her-bbhslhr2%3Fcurrency%3DUSD%26variant%3D44290432958659&intsrc=CATF_11961&subid1=price_comp_price
8,25,42.0,https://adidas.njih.net/c/1960210/376195/4270?c=affiliate_2021&af_reengagement_window=30d&af_channel=affiliates&pid=impactradius_int&is_retargeting=true&af_siteid=%7Birpid%7D&prodsku=JH6625_570&u=http%3A%2F%2Fwww.adidas.com%2Fus%2Fdame-9-shoes%2FJH6625.html&intsrc=CATF_2425&subid1=price_comp_price
7,25,94.99,https://champssports.4xc4ep.net/c/1960210/793143/11069?prodsku=IG660310&u=https%3A%2F%2Fwww.champssports.com%2Fproduct%2F%7E%2FIG6603.html&intsrc=CATF_5705&subid1=price_comp_price
