critic_id,shoe_id,rating,name,date,description
37,1,8.6,Foot Doctor Zach,2025-05-15,"The Reebok Engine A does not disappoint. If you can get the fit right, the performance feels fantastic."
29,1,8.0,MARKCHES,2025-05-15,"Kudos to Reebok for moving in the right direction with the Engine A. I like the comfort, and the traction plays well on clean courts."
44,1,8.0,TommyLiu,2025-05-15,"The Reebok Engine A is a solid performer, especially for a comeback model. I like the cushioning, and the traction is consistent."
44,2,8.4,TommyLiu,2025-05-15,I like the performance of the Jordan Luka 4. It has the best cushioning and traction in his signature line.
46,2,8.2,Jeremy Jones,2025-05-15,The Jordan Luka 4 feels more refined than the Luka 3. I appreciate the tweaks and upgrades to the support and cushioning.
24,2,8.2,RicheeKim,2025-05-15,"The Jordan Luka 4 is a solid shoe, but doesn't have the best tech. The traction performs well on clean courts, and the support is secure."
36,2,8.2,Snkr Tech Talk,2025-05-15,"The Jordan Luka 4 is the best signature shoe in the line. The traction and support are impressive, but I wish the Zoom Air bag felt better."
48,2,8.2,DG Hoops,2025-06-08,"The Jordan Luka 4 is the best shoe in his line. It's a reliable and comfortable performer. The playability is good thanks to the weight, cushioning, and fit."
47,2,8.0,Lukas Simoner,2025-05-15,"There are plenty of upgrades and improvements to the Jordan Luka 4, but the support takes a step back."
43,2,7.8,The Sole Drop,2025-05-15,"The Jordan Luka 4 is a responsive, low-to-the-ground performance shoe. The cushioning feels comfortable, and I like the snug fit."
37,2,7.6,Foot Doctor Zach,2025-05-15,"If you liked the Luka 1, you're going to like the Luka 4. It offers decent cushioning, with the stability of the original."
37,3,8.9,Foot Doctor Zach,2025-04-12,"The Anta KAI 2 is a well-balanced shoe with very few faults. I always felt confident with the traction, and the cushioning is very bouncy."
43,3,8.8,The Sole Drop,2025-04-12,"The Anta KAI 2 is one of my favourite shoes of the year. The cushioning is impressive, the materials work well, and I like the support."
46,3,8.2,Jeremy Jones,2025-04-12,"I enjoy playing in the Anta KAI 2. I like the traction, cushioning, and fit."
44,3,8.0,TommyLiu,2025-04-12,"The Anta KAI 2 truly feels like a Kyrie shoe. It's responsive and has impressive cushioning, but lacks cushioning."
36,4,9.4,Snkr Tech Talk,2025-04-28,I love the Way of Wade 808 5 Ultra. Li-Ning stepped up and improved an already good shoe. This shoe has my favourite drop-in midsole ever.
43,4,9.0,The Sole Drop,2025-04-12,"This shoe is extremely lightweight, has phenomenal traction, and outstanding cushioning."
47,4,9.0,Lukas Simoner,2025-04-20,"The Way of Wade 808 5 Ultra offers insane performance at its price point. The traction is the standout feature, but the cushioning is also impressive."
37,4,8.8,Foot Doctor Zach,2025-04-12,"The Li-Ning Way of Wade 808 5 Ultra is a lively shoe. The bounce is incredible, and the traction is also top-notch."
44,4,8.6,TommyLiu,2025-04-12,"The Way of Wade 808 5 Ultra is lighter, breathable, and bouncier. It's an all-around upgrade and one of the best performers available."
24,4,8.6,RicheeKim,2025-04-20,The Li-Ning Way of Wade 808 5 Ultra is worth the money. The drop-in midsole feels crazy and is one of the best available.
