shoe_id,name,brand,release_date,shoe_type,description,price,expert_rating,traction_rating,cushion_rating,materials_rating,support_rating,fit_rating,outdoor_rating,size,width
1,Reebok Engine A,Reebok,2025-05-01,Low Top,The Reebok Engine A is best for bigger players looking for solid impact protection.,119.99,8.2,8.0,8.7,8.3,8.0,8.0,25.0,slightly long,regular
2,Jordan Luka 4,Jordan,2025-04-01,Low Top,"This shoe is best for bigger, shifty guards.",129.99,8.1,8.4,8.1,7.6,8.1,8.1,13.0,true to size,regular
3,ANTA Kai 2,ANTA,2025-03-01,Low Top,"The KAI 2 is best for shifty guards who want a fast, responsive shoe.",139.99,8.5,9.3,8.4,8.0,8.3,8.5,33.0,true to size,regular
4,Li-Ning Wade 808 5 Ultra,Li-Ning,2025-03-01,Low Top,"This shoe is best for smaller, quicker, more explosive players.",159.99,8.9,9.5,9.9,8.1,8.6,8.2,70.0,slightly long,regular
5,Jordan Zion 4,Jordan,2025-02-01,Low Top,The Zion 4 is best for players with narrow feet who want extra support and comfortable cushioning.,139.99,7.8,7.6,8.5,7.6,7.6,7.8,8.0,true to size,slightly narrow
6,Nike KD 18,Nike,2025-02-01,Low Top,This shoe is best for players who enjoyed the KD 17 and want better support and lockdown.,159.99,8.2,8.3,7.8,8.4,8.5,7.8,38.0,true to size,regular
7,Nike LeBron NXXT Genisus,Nike,2025-02-01,High Top,This shoe is best for players who like supportive uppers.,149.99,8.2,7.9,8.3,7.8,8.7,8.2,50.0,true to size,regular
8,Nike GT Cut 3 Turbo,Nike,2025-02-01,Low Top,"This shoe is best for players who want a more stable, improved version of the previous model.",209.99,8.6,9.3,9.1,8.3,8.5,8.0,25.0,true to size,slightly narrow
9,361 Joker 1,361,2025-01-01,High Top,Players with a variety of play styles will enjoy this shoe thanks to the versatility of its features.,209.99,8.8,8.9,9.5,8.7,8.9,8.0,25.0,true to size,regular
10,Adidas Harden Volume 9,Adidas,2025-01-01,Low Top,This shoe is best for all positions prioritizing a secure upper and springy cushioning.,159.99,8.5,8.4,9.0,8.0,9.0,8.2,6.0,slightly long,regular
11,Puma Scoot Zero 2,Puma,2025-01-01,Low Top,This shoe is best for laterally quick players who use side-to-side movements.,109.99,8.2,9.1,7.3,7.9,8.5,8.3,0.0,true to size,regular
12,Rigorer AR 2,Rigorer,2025-01-01,Low Top,The AR 2 is best for guards who quickly get up and down the court.,99.99,8.4,8.6,9.1,7.8,8.5,8.2,50.0,true to size,regular
13,Under Armour Curry Fox 1,Under Armour,2024-12-01,Low Top,This shoe is best suited for nimble guards with good footwork.,119.99,8.2,8.8,8.0,8.0,8.3,8.0,0.0,true to size,regular
14,Adidas Dame Certified 3,Adidas,2024-12-01,Low Top,This shoe is a good low-budget shoe for stability.,84.99,7.6,7.0,7.5,7.3,8.0,8.3,50.0,slightly long,regular
15,Li-Ning Way of Wade All City 13,Li-Ning,2024-12-01,Low Top,"This shoe is best for quick, explosive guards but is versatile enough for everyone.",139.99,8.9,9.5,9.2,8.6,9.2,8.2,70.0,true to size,regular
16,Li-Ning Wade Shadow 6,Li-Ning,2024-12-01,Low Top,"This shoe offers something for all play styles but excels for explosive, snappy players.",119.99,8.5,9.0,8.9,7.9,8.7,8.0,100.0,true to size,regular
17,ANTA KT 10,ANTA,2024-12-01,Low Top,This shoe excels at everything. It has something to offer for all players.,129.99,8.9,9.0,9.5,8.4,9.0,8.6,50.0,true to size,regular
18,Jordan Tatum 3,Jordan,2024-11-01,Low Top,The Tatum 3 is best for players who move a lot on their forefoot.,124.99,7.7,7.7,7.6,8.1,7.3,7.8,10.0,true to size,regular
19,Nike Lebron 22,Nike,2024-11-01,Low Top,"This shoe is best for anyone looking for a comfortable, responsive, and bouncy cushioning setup.",179.99,8.5,8.4,9.3,8.0,8.9,8.3,40.0,slightly long,regular
20,Nike Ja 2,Nike,2024-10-01,Low Top,"The Ja 2 is best for players who enjoy light, speedy shoes with a bit of pop.",119.99,8.1,9.0,7.6,7.8,7.9,8.2,17.0,true to size,regular
21,Puma MB.04,Puma,2024-10-01,Mid Top,The shoe is best for those who enjoy the comfortable midsole and upper materials from previous Puma MB shoes.,124.99,7.9,7.6,8.1,7.8,8.0,7.8,0.0,true to size,regular
22,Nike Kobe 9 Elite Low Protro,Nike,2024-10-01,Low Top,This shoe is best for players looking for elite traction performance.,209.99,8.6,9.4,8.6,8.2,8.8,8.2,10.0,true to size,regular
23,ANTA Shock Wave 6,ANTA,2024-10-01,Low Top,This shoe is best suited for guards and other quick players.,149.99,8.6,9.0,8.4,8.5,8.8,8.4,88.0,true to size,slightly narrow
24,New Balance Hesi Low V2,New Balance,2024-09-01,Low Top,"This shoe is best for lighter, nimbler players.",109.99,8.4,9.4,8.6,7.8,8.2,8.0,38.0,true to size,regular
25,Adidas Dame 9,Adidas,2024-09-01,Low Top,The Dame 9 is best for players looking for soft cushioning and containment.,119.99,8.4,8.6,8.6,8.0,8.7,8.2,7.0,slightly long,slightly wide
26,Nike Giannis Immortality 4,Nike,2024-09-01,Low Top,The Nike Giannis Immortality 4 is best for players looking for a budget shoe with a durable outsole and supportive upper.,99.99,8.1,8.7,7.8,8.2,8.3,7.6,60.0,true to size,regular
27,New Balance TWO WXY V5,New Balance,2024-09-01,Low Top,The shoe plays well for all positions. It does it all.,119.99,8.7,9.4,8.7,8.3,8.7,8.3,70.0,true to size,regular
28,ANTA KAI 1 Speed,ANTA,2024-09-01,Low Top,This shoe is a good pick for players who want a more responsive version of the KAI 1.,124.99,8.9,9.3,8.6,8.5,9.1,9.0,13.0,slightly long,regular
29,Jordan Luka 3,Jordan,2024-08-01,Low Top,"The Luka 3 is best for shifty, balanced players who mainly play on clean courts.",139.99,8.2,8.4,8.0,7.9,8.7,8.1,50.0,true to size,regular
30,Air Jordan 39,Jordan,2024-08-01,Low Top,This is the perfect shoe for players who love explosive cushioning setups.,199.99,8.1,8.4,8.7,8.4,7.1,8.0,0.0,true to size,regular
31,Adidas A.E. 1 Low,Adidas,2024-08-01,Low Top,The shoe is best for shifty players who like to feel low to the ground.,109.99,8.1,8.7,8.0,7.9,8.1,7.6,17.0,slightly long,regular
32,Nike Zoom Freak 6,Nike,2024-08-01,Low Top,The shoe's responsiveness and light weight are better suited for lighter guards.,149.99,8.0,8.3,7.9,7.6,7.7,8.3,40.0,true to size,regular
33,Under Armour Curry 12,Under Armour,2024-08-01,Low Top,The Curry 12 is the perfect shoe for players who need elite traction on clean courts.,149.99,8.5,9.1,8.3,8.4,8.4,8.1,0.0,true to size,regular
34,Li-Ning Way of Wade All City 12 Encore,Li-Ning,2024-08-01,Low Top,This shoe has something for everyone. All players will enjoy the All City 12 Encore.,149.99,8.9,9.3,9.6,8.3,9.0,8.2,50.0,true to size,regular
35,Li-Ning Wade Ice Blood 2,Li-Ning,2024-08-01,Low Top,The shoe is best for guards who play low to the ground.,139.99,8.0,8.3,8.6,7.8,8.5,6.7,100.0,slightly small,slightly narrow
36,Li-Ning Way of Wade 11,Li-Ning,2024-07-01,Low Top,"The lightweight, well-cushioned Way of Wade 11 is recommended for players who like to get up and down the court and vertical.",224.99,8.9,9.4,9.4,8.4,9.2,8.1,14.0,true to size,regular
37,Adidas D.O.N. Issue 6,Adidas,2024-07-01,Low Top,The D.O.N. Issue 6 is best for quicker players looking for a bottom-light shoe.,119.99,8.5,9.6,8.0,8.0,8.5,8.4,17.0,slightly long,regular
